YF_Symbol,SC_NAME
500002.BO,ABB LTD.    
500003.BO,AEGIS LOGIS 
500008.BO,AMAR RAJA BA
500009.BO,A.SARABHAI  
500010.BO,HDFC        
500012.BO,ANDHRA PETRO
500013.BO,ANSAL INFRAS
500014.BO,UTIQUE      
500016.BO,ARUNAHTEL   
500020.BO,BOM DYEING  
500023.BO,ASIANHOTNR  
500027.BO,ATUL LTD.   
500028.BO,ATV PROJECTS
500031.BO,BAJAJ ELECT.
500032.BO,BAJAJHIND   
500033.BO,FORCE MOTR  
500034.BO,BAJFINANCE  
500038.BO,BALRAM.CHINI
500039.BO,BANCO PROD. 
500040.BO,CENTURY TEXT
500041.BO,BANNARI AMAN
500042.BO,BASF INDIA  
500043.BO,BATA INDIA  
500048.BO,BEML LTD    
500049.BO,BHARAT ELECT
500052.BO,BHANSALI ENG
500058.BO,BIHAR SPONGE
500059.BO,BINANI IND. 
500060.BO,BIRLACABLE  
500067.BO,BLUE STAR   
500068.BO,DISA INDIA  
500069.BO,QUESTCAP    
500074.BO,BPL LTD.    
500078.BO,OAL         
500083.BO,CENTURY EXT 
500084.BO,CESC LTD.   
500085.BO,CHAMBAL FERT
500086.BO,EXIDE IND.  
500087.BO,CIPLA LTD.  
500089.BO,DIC INDIA   
500092.BO,CRISIL LTD  
500093.BO,CGPOWER     
500096.BO,DABUR (I)   
500097.BO,DALMIASUG   
500101.BO,ARVIND Ltd  
500103.BO,BHEL        
500104.BO,HIND.PETRO  
500106.BO,IFCI LTD    
500108.BO,MAHA.TELE   
500109.BO,MRPL        
500110.BO,CHENNAI PET.
500112.BO,STATE BANK  
500113.BO,STEEL AUTH. 
500114.BO,TITAN       
500116.BO,IDBI BANK L 
500117.BO,DCW LTD.    
500119.BO,DHAMPUR SUGA
500120.BO,DIAMINES&CHM
500123.BO,ELANTAS     
500124.BO,DR.REDDY'S  
500125.BO,E.I.D.PAR   
500126.BO,PGHL        
500128.BO,ELEC.CASTING
500133.BO,ESAB INDIA  
500135.BO,EPL         
500136.BO,ESTER INDUS.
500142.BO,FGP LTD.    
500143.BO,P.H.CAPITAL 
500144.BO,FINOL. CABLE
500147.BO,COCKERILL   
500148.BO,UFLEX LTD   
500150.BO,FOSECO INDIA
500151.BO,GOLDEN TOB  
500153.BO,GANESH BENZO
500159.BO,METROGLOBL  
500160.BO,GTL LTD.    
500163.BO,GODFREY PH  
500164.BO,GODREJ IND  
500165.BO,KANSAI NERO 
500166.BO,GOODRICKE   
500168.BO,GOODYEAR (I)
500170.BO,GTN INDUS   
